Time,Reading ID,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:00:00,1,38.7,21.8,87,0,400,OFF,0
0:00:01,2,38.7,21.8,87,0,400,OFF,0
0:00:02,3,38.9,21.8,88,0,400,OFF,0
0:00:03,4,38.9,21.8,88,0,400,OFF,0
0:00:04,5,39,21.9,89,0,400,OFF,0
0:00:05,6,39,21.9,88,0,400,OFF,0
0:00:06,7,39,21.8,88,0,400,OFF,0
0:00:07,8,39,21.8,88,0,400,OFF,0
0:00:08,9,39,21.8,88,0,400,OFF,0
0:00:09,10,39,21.8,88,0,400,OFF,0
0:00:10,11,39.1,21.8,88,0,400,OFF,0
0:00:11,12,39.1,21.8,88,0,400,OFF,0
0:00:12,13,39.2,21.9,89,0,400,OFF,0
0:00:13,14,39.2,21.9,89,0,400,OFF,1
0:00:14,15,39.1,21.8,89,0,400,OFF,1
0:00:15,16,39.1,21.8,90,2,404,OFF,1
0:00:16,17,39.2,21.8,90,11,403,OFF,1
0:00:17,18,39.2,21.8,90,9,412,OFF,1
0:00:18,19,39.2,21.8,90,17,465,OFF,1
0:00:19,20,39.2,21.8,91,14,484,OFF,1
0:00:20,21,39.2,21.8,93,27,543,OFF,1
0:00:21,22,39.2,21.8,93,37,567,OFF,1
0:00:22,23,39.2,21.8,95,41,614,OFF,1
0:00:23,24,39.2,21.8,97,51,623,OFF,1
0:00:24,25,39.3,21.8,97,63,634,OFF,1
0:00:25,26,39.3,21.8,97,59,616,OFF,1
0:00:26,27,39.4,21.9,97,62,587,OFF,1
0:00:27,28,39.4,21.9,97,64,562,OFF,1
0:00:28,29,39.3,21.8,97,68,570,OFF,1
0:00:29,30,39.3,21.8,97,78,609,OFF,1
0:00:30,31,39.4,21.9,98,83,656,OFF,1
0:00:31,32,39.4,21.9,98,82,657,OFF,1
0:00:32,33,39.4,21.9,98,89,611,OFF,1
0:00:33,34,39.3,21.8,98,95,605,OFF,1
0:00:34,35,39.3,21.8,98,93,612,OFF,1
0:00:35,36,39.4,21.8,98,97,610,OFF,1
0:00:36,37,39.4,21.8,98,95,619,OFF,1
0:00:37,38,39.4,21.8,98,104,636,OFF,1
0:00:38,39,39.4,21.8,99,102,624,OFF,1
0:00:39,40,39.4,21.8,100,105,628,OFF,1
0:00:40,41,39.4,21.8,100,109,639,OFF,1
0:00:41,42,39.4,21.8,101,111,658,OFF,1
0:00:42,43,39.4,21.8,101,112,671,OFF,1
0:00:43,44,39.5,21.8,102,114,684,OFF,1
0:00:44,45,39.5,21.8,102,121,696,OFF,1
0:00:45,46,39.5,21.8,102,129,707,OFF,1
0:00:46,47,39.5,21.8,102,126,701,OFF,1
0:00:47,48,39.6,21.8,103,139,718,OFF,1
0:00:48,49,39.6,21.8,103,135,722,OFF,1
0:00:49,50,39.6,21.8,103,137,747,OFF,1
0:00:50,51,39.6,21.8,104,147,758,OFF,1
0:00:51,52,39.7,21.9,104,151,762,OFF,1
0:00:52,53,39.7,21.9,104,154,758,OFF,1
0:00:53,54,39.6,21.8,104,150,762,OFF,1
0:00:54,55,39.6,21.8,105,154,776,OFF,1
0:00:55,56,39.6,21.8,105,165,805,OFF,1
0:00:56,57,39.6,21.8,105,165,811,OFF,1
