Time,Reading ID#,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:00:00,1,60.8,23.9,114,0,400,OFF,0
0:00:01,2,60.8,23.9,114,0,400,OFF,0
0:00:02,3,60.7,23.9,114,0,400,OFF,0
0:00:03,4,60.7,23.9,113,0,400,OFF,0
0:00:04,5,60.7,23.9,114,0,400,OFF,0
0:00:05,6,60.7,23.9,114,0,400,OFF,0
0:00:06,7,60.7,23.9,114,0,400,OFF,0
0:00:07,8,60.7,23.9,114,0,400,OFF,0
0:00:08,9,60.7,23.9,114,0,400,OFF,0
0:00:09,10,60.7,23.9,114,0,400,OFF,0
0:00:10,11,60.6,23.9,114,0,400,OFF,0
0:00:11,12,60.6,23.9,114,0,400,OFF,0
0:00:12,13,60.6,23.9,114,0,400,OFF,0
0:00:13,14,60.6,23.9,114,0,400,OFF,0
0:00:14,15,60.6,23.9,114,0,400,OFF,0
0:00:15,16,60.6,23.9,114,2,400,OFF,0
0:00:16,17,60.6,23.9,114,4,403,OFF,0
0:00:17,18,60.6,23.9,114,4,404,OFF,0
0:00:18,19,60.6,23.9,114,7,407,ON,0
0:00:19,20,60.6,23.9,114,10,402,OFF,0
0:00:20,21,60.6,23.9,114,8,403,OFF,0
0:00:21,22,60.6,23.9,114,9,407,OFF,0
0:00:22,23,60.6,23.9,113,10,412,OFF,0
0:00:23,24,60.6,23.9,114,11,411,OFF,0
0:00:24,25,60.6,23.9,114,11,409,OFF,0
0:00:25,26,60.6,23.9,114,5,416,OFF,0
0:00:26,27,60.6,23.9,114,9,415,OFF,0
0:00:27,28,60.6,23.9,114,14,419,OFF,0
0:00:28,29,60.6,23.9,114,12,424,OFF,0
0:00:29,30,60.6,23.9,114,14,415,OFF,0
0:00:30,31,60.6,23.9,114,15,420,OFF,0
0:00:31,32,60.6,23.9,114,17,427,OFF,0
0:00:32,33,60.6,23.9,114,16,414,OFF,0
0:00:33,34,60.6,23.9,114,17,411,OFF,0
0:00:34,35,60.6,23.9,114,12,409,OFF,0
0:00:35,36,60.6,23.9,114,14,402,OFF,0
0:00:36,37,60.6,23.9,113,12,407,OFF,0
0:00:37,38,60.6,23.9,114,11,406,OFF,0
0:00:38,39,60.6,23.9,114,10,400,OFF,0
0:00:39,40,60.6,23.9,114,11,400,OFF,0
0:00:40,41,60.6,23.9,114,11,402,OFF,0
0:00:42,42,60.6,23.9,114,11,409,OFF,0
0:00:43,43,60.6,23.9,114,14,411,OFF,0
0:00:43,44,60.6,23.9,114,11,400,OFF,0
0:00:45,45,60.6,23.9,114,9,405,OFF,0
0:00:46,46,60.6,23.9,114,11,413,OFF,0
0:00:47,47,60.6,23.9,114,12,414,OFF,0
0:00:48,48,60.6,23.9,114,15,417,OFF,0
0:00:49,49,60.6,23.9,114,14,415,OFF,0
0:00:50,50,60.6,23.9,114,10,407,OFF,0
0:00:51,51,60.6,23.9,114,12,418,OFF,0
0:00:52,52,60.6,23.9,114,17,418,OFF,0
0:00:53,53,60.6,23.9,114,12,414,OFF,0
0:00:54,54,60.6,23.9,114,15,417,OFF,0
0:00:55,55,60.6,23.9,114,17,412,OFF,0
0:00:56,56,60.6,23.9,114,13,412,OFF,0
0:00:57,57,60.6,23.9,114,16,411,OFF,0
0:00:58,58,60.7,23.9,114,10,412,OFF,0
0:00:59,59,60.7,23.9,114,17,412,OFF,0
0:01:00,60,60.7,23.9,114,14,412,OFF,0
0:01:01,61,60.7,23.9,114,10,407,OFF,0
0:01:02,62,60.7,23.9,114,14,412,OFF,0
0:01:03,63,60.7,23.9,114,13,412,OFF,0
0:01:04,64,60.7,23.9,114,18,405,OFF,0
0:01:05,65,60.7,23.9,114,11,410,OFF,0
0:01:06,66,60.7,23.9,114,11,404,OFF,0
0:01:07,67,60.7,23.9,114,9,401,OFF,0
0:01:08,68,60.7,23.9,114,10,400,OFF,0
0:01:09,69,60.7,23.9,114,7,400,OFF,0
0:01:10,70,60.7,23.9,114,6,402,OFF,0
0:01:11,71,60.6,23.9,114,5,405,OFF,0
0:01:12,72,60.6,23.9,114,6,403,OFF,0
0:01:13,73,60.6,23.9,114,5,400,OFF,0
0:01:14,74,60.6,23.9,114,0,400,OFF,0
0:01:15,75,60.6,23.9,114,2,403,OFF,0
0:01:16,76,60.6,23.9,114,0,400,OFF,0
0:01:17,77,60.5,23.9,114,2,412,OFF,0
0:01:18,78,60.5,23.9,114,1,414,OFF,0
0:01:19,79,60.5,23.9,114,0,409,OFF,0
0:01:20,80,60.5,23.9,114,0,403,OFF,0
0:01:21,81,60.5,23.9,114,2,412,OFF,0
0:01:22,82,60.5,23.9,114,3,404,OFF,0
0:01:23,83,60.5,23.9,114,6,414,OFF,0
0:01:24,84,60.5,23.9,114,5,413,OFF,0
0:01:25,85,60.4,23.9,114,8,408,OFF,0
0:01:26,86,60.4,23.9,114,5,414,OFF,0
0:01:27,87,60.4,23.9,114,6,411,OFF,0
0:01:28,88,60.5,23.9,114,3,404,OFF,0
0:01:29,89,60.5,23.9,114,4,406,OFF,0
0:01:30,90,60.5,23.9,114,8,403,OFF,0
0:01:31,91,60.5,23.9,114,6,403,OFF,0
0:01:32,92,60.5,23.9,114,5,405,OFF,0
0:01:33,93,60.5,23.9,114,2,407,OFF,0
0:01:34,94,60.4,23.9,114,1,400,OFF,0
0:01:35,95,60.4,23.9,114,7,404,OFF,0
0:01:36,96,60.4,23.9,114,7,408,OFF,0
0:01:37,97,60.4,23.9,114,6,412,OFF,0
0:01:38,98,60.4,23.9,114,5,402,OFF,0
0:01:39,99,60.4,23.9,113,3,401,OFF,0
0:01:40,100,60.4,23.9,114,5,406,OFF,0
0:01:41,101,60.4,23.9,114,4,409,OFF,0
0:01:42,102,60.4,23.9,114,0,401,OFF,0
0:01:43,103,60.4,23.9,113,5,409,OFF,0
0:01:44,104,60.4,23.9,114,12,416,OFF,0
0:01:45,105,60.4,23.9,114,8,408,OFF,0
0:01:46,106,60.4,23.9,114,11,415,OFF,0
0:01:47,107,60.4,23.9,114,5,404,OFF,0
0:01:48,108,60.4,23.9,114,13,411,OFF,0
0:01:49,109,60.4,23.9,114,12,408,OFF,0
0:01:50,110,60.4,23.9,114,10,404,OFF,0
0:01:51,111,60.4,23.9,114,17,410,OFF,0
0:01:52,112,60.4,23.9,114,13,405,OFF,0
0:01:53,113,60.4,23.9,114,8,404,OFF,0
0:01:54,114,60.4,23.9,114,8,404,OFF,0
0:01:55,115,60.4,23.9,114,12,414,OFF,0
0:01:56,116,60.4,23.9,114,12,419,OFF,0
0:01:57,117,60.4,23.9,114,11,415,OFF,0
0:01:58,118,60.4,23.9,113,9,411,OFF,0
0:01:59,119,60.4,23.9,114,10,408,OFF,0
0:02:00,120,60.4,23.9,114,12,436,OFF,0
0:02:01,121,60.4,23.9,116,16,476,OFF,0
0:02:02,122,60.4,23.9,118,23,513,OFF,0
0:02:03,123,60.4,23.9,120,25,529,OFF,0
0:02:04,124,60.4,23.9,122,39,584,OFF,1
0:02:05,125,60.4,23.9,123,51,632,OFF,1
0:02:06,126,60.4,23.9,124,49,697,OFF,1
0:02:07,127,60.4,23.9,126,56,697,OFF,1
0:02:08,128,60.4,23.9,126,64,702,OFF,1
0:02:09,129,60.4,23.9,127,67,681,OFF,1
0:02:10,130,60.4,23.9,126,71,641,OFF,1
0:02:11,131,60.5,23.9,127,69,627,OFF,1
0:02:12,132,60.5,23.9,127,78,608,OFF,1
0:02:13,133,60.5,23.9,127,71,605,OFF,1
0:02:14,134,60.5,23.9,127,69,586,OFF,1
0:02:15,135,60.5,23.9,127,72,583,OFF,1
0:02:16,136,60.5,23.9,126,69,585,OFF,1
0:02:17,137,60.5,23.9,127,63,582,OFF,1
0:02:18,138,60.5,23.9,127,68,587,OFF,1
0:02:19,139,60.5,23.9,128,72,579,OFF,1
0:02:20,140,60.5,23.9,128,69,583,OFF,1
0:02:21,141,60.5,23.9,128,71,590,OFF,1
0:02:22,142,60.5,23.9,128,72,590,OFF,1
0:02:23,143,60.5,23.9,129,77,607,OFF,1
0:02:24,144,60.5,23.9,129,76,618,OFF,1
0:02:25,145,60.5,23.9,129,81,609,OFF,1
0:02:26,146,60.5,23.9,128,83,609,OFF,1
0:02:27,147,60.5,23.9,129,86,609,OFF,1
0:02:28,148,60.5,23.9,129,91,615,OFF,1
0:02:29,149,60.6,24,130,89,623,OFF,1
0:02:30,150,60.6,24,130,83,617,OFF,1
0:02:31,151,60.5,23.9,132,94,624,OFF,1
0:02:32,152,60.5,23.9,133,94,628,OFF,1
0:02:33,153,60.5,24,135,90,646,OFF,1
0:02:34,154,60.5,24,136,93,670,OFF,1
0:02:35,155,60.5,24,138,112,758,OFF,1
0:02:36,156,60.5,24,139,118,800,OFF,1
0:02:37,157,60.5,24,141,134,837,OFF,1
0:02:38,158,60.5,24,142,135,849,OFF,1
0:02:39,159,60.5,24,144,146,875,OFF,1
0:02:40,160,60.5,24,145,148,904,OFF,1
0:02:41,161,60.5,24,146,159,899,OFF,1
0:02:42,162,60.5,24,147,161,903,OFF,1
0:02:43,163,60.5,24,147,167,916,OFF,1
0:02:44,164,60.5,24,148,168,921,OFF,1
0:02:45,165,60.5,24,148,175,923,OFF,1
0:02:46,166,60.5,24,148,180,928,OFF,1
0:02:47,167,60.5,24,147,183,930,OFF,1
0:02:48,168,60.4,24,148,184,928,OFF,1
0:02:49,169,60.4,24,149,185,911,OFF,1
0:02:50,170,60.4,24,151,186,872,OFF,1
0:02:51,171,60.4,24,151,185,866,OFF,1
0:02:52,172,60.4,24,152,186,888,OFF,1
0:02:53,173,60.4,24,153,194,952,OFF,1
0:02:54,174,60.4,24,155,195,969,OFF,1
0:02:55,175,60.4,24,157,192,1006,OFF,1
0:02:56,176,60.4,24,159,201,1023,OFF,1
0:02:57,177,60.4,24,159,206,1040,OFF,1
0:02:58,178,60.4,24,160,207,1035,OFF,1
0:02:59,179,60.4,24,161,206,1018,OFF,1
0:03:00,180,60.4,24,161,211,1040,OFF,1
0:03:01,181,60.4,24,162,218,1074,OFF,1
0:03:02,182,60.4,24,162,215,1122,OFF,1
0:03:03,183,60.4,24,163,223,1148,OFF,1
0:03:04,184,60.3,24,163,233,1171,OFF,1
0:03:05,185,60.3,24,163,224,1185,OFF,1
0:03:06,186,60.3,24,163,230,1197,OFF,1
0:03:07,187,60.3,24,163,239,1215,OFF,1
0:03:08,188,60.3,24,164,238,1226,OFF,1
0:03:09,189,60.3,24,164,241,1228,OFF,1
0:03:10,190,60.3,24,165,241,1221,OFF,1
0:03:11,191,60.3,24,164,248,1225,OFF,1
0:03:12,192,60.3,24.1,164,247,1210,OFF,1
0:03:13,193,60.3,24.1,165,246,1203,OFF,1
0:03:14,194,60.3,24.1,164,242,1163,OFF,1
0:03:15,195,60.3,24.1,165,245,1166,OFF,1
0:03:16,196,60.3,24,165,247,1112,OFF,1
0:03:17,197,60.3,24,164,245,1079,OFF,1
0:03:18,198,60.3,24.1,164,237,1019,OFF,1
0:03:19,199,60.3,24.1,164,234,991,OFF,1
0:03:20,200,60.3,24.1,164,232,931,OFF,1
0:03:21,201,60.3,24.1,164,230,910,OFF,1
0:03:22,202,60.3,24.1,164,221,850,OFF,1
0:03:23,203,60.3,24.1,164,218,839,OFF,1
0:03:24,204,60.3,24.1,164,214,834,OFF,1
0:03:25,205,60.3,24.1,164,213,828,OFF,1
0:03:26,206,60.2,24.1,164,212,832,OFF,1
0:03:27,207,60.2,24.1,165,209,827,OFF,1
0:03:28,208,60.2,24.1,166,206,844,OFF,1
0:03:29,209,60.2,24.1,166,210,875,OFF,1
0:03:30,210,60.2,24.1,166,213,952,OFF,1
0:03:31,211,60.2,24.1,167,216,1015,OFF,1
0:03:32,212,60.2,24.1,167,223,1093,OFF,1
0:03:33,213,60.2,24.1,167,227,1115,OFF,1
0:03:34,214,60.2,24.1,168,231,1128,OFF,1
0:03:35,215,60.2,24.1,167,234,1137,OFF,1
0:03:36,216,60.2,24.1,168,240,1171,OFF,1
0:03:37,217,60.2,24.1,168,238,1160,OFF,1
0:03:38,218,60.2,24.1,168,241,1186,OFF,1
0:03:39,219,60.1,24.1,168,245,1185,OFF,1
0:03:40,220,60.1,24.1,168,243,1197,OFF,1
0:03:41,221,60.1,24.1,168,240,1208,OFF,1
0:03:42,222,60.1,24.1,168,247,1208,OFF,1
0:03:43,223,60.1,24.1,168,251,1188,OFF,1
0:03:44,224,60.1,24.1,168,247,1184,OFF,1
0:03:45,225,60.1,24.1,168,251,1180,OFF,1
0:03:46,226,60.1,24.1,168,250,1185,OFF,1
0:03:47,227,60.1,24.1,169,250,1221,OFF,1
0:03:48,228,60.1,24.1,170,255,1256,OFF,1
0:03:49,229,60.1,24.1,170,261,1324,OFF,1
0:03:50,230,60.1,24.1,170,267,1378,OFF,1
0:03:51,231,60.1,24.1,171,275,1430,OFF,1
0:03:52,232,60.1,24.1,173,284,1467,OFF,1
0:03:53,233,60.1,24.1,174,298,1508,OFF,1
0:03:54,234,60.1,24.1,175,311,1542,OFF,1
0:03:55,235,60.1,24.1,176,319,1601,OFF,1
0:03:56,236,60.1,24.1,176,334,1633,OFF,1
0:03:57,237,60.1,24.2,179,338,1667,OFF,1
0:03:58,238,60.1,24.2,179,339,1661,OFF,1
0:03:59,239,60.1,24.2,181,350,1677,OFF,1
0:04:00,240,60.1,24.2,181,352,1677,OFF,1
0:04:01,241,60.1,24.2,182,372,1724,OFF,1
0:04:02,242,60.1,24.2,183,365,1690,OFF,1
0:04:03,243,60.1,24.2,184,379,1710,OFF,1
0:04:04,244,60.1,24.2,184,377,1724,OFF,1
0:04:05,245,60.1,24.1,185,392,1733,OFF,1
0:04:06,246,60.1,24.1,185,391,1719,OFF,1
0:04:07,247,60.1,24.1,186,400,1731,OFF,1
0:04:08,248,60.1,24.1,186,390,1730,OFF,1
0:04:09,249,60.1,24.2,187,390,1707,OFF,1
0:04:10,250,60.1,24.2,187,398,1713,OFF,1
0:04:11,251,60.1,24.2,188,396,1698,OFF,1
0:04:12,252,60.1,24.2,189,390,1692,OFF,1
0:04:13,253,60.1,24.2,189,400,1686,OFF,1
0:04:14,254,60.1,24.2,189,397,1688,OFF,1
0:04:15,255,60.1,24.2,189,395,1688,OFF,1
0:04:16,256,60.1,24.2,189,395,1657,OFF,1
0:04:17,257,60.1,24.2,190,385,1669,OFF,1
0:04:18,258,60.1,24.2,190,397,1676,OFF,1
0:04:19,259,60.1,24.2,190,402,1687,OFF,1
0:04:20,260,60.1,24.2,190,397,1692,OFF,1
0:04:21,261,60.1,24.2,190,401,1688,OFF,1
0:04:22,262,60.1,24.2,190,395,1687,OFF,1
0:04:23,263,60.1,24.2,190,410,1686,OFF,1
0:04:24,264,60.1,24.1,190,402,1676,OFF,1
0:04:25,265,60.1,24.1,190,399,1657,OFF,1
0:04:27,266,60.1,24.2,190,412,1651,OFF,1
0:04:27,267,60.1,24.2,190,397,1617,OFF,1
0:04:28,268,60.1,24.2,189,391,1595,OFF,1
0:04:29,269,60.1,24.2,188,400,1584,OFF,1
0:04:30,270,60.1,24.2,188,400,1570,OFF,1
0:04:31,271,60.1,24.2,188,390,1547,OFF,1
0:04:32,272,60.1,24.2,188,387,1549,OFF,1
0:04:33,273,60.1,24.2,187,375,1543,OFF,1
0:04:34,274,60.2,24.2,187,379,1554,OFF,1
0:04:35,275,60.2,24.2,186,394,1577,OFF,1
0:04:36,276,60.2,24.2,186,391,1564,OFF,1
0:04:37,277,60.2,24.2,186,382,1582,OFF,1
0:04:38,278,60.2,24.2,186,395,1587,OFF,1
0:04:39,279,60.2,24.2,186,383,1593,OFF,1
0:04:40,280,60.2,24.2,186,377,1603,OFF,1
0:04:41,281,60.2,24.2,187,392,1613,OFF,1
0:04:42,282,60.2,24.2,187,398,1606,OFF,1
0:04:43,283,60.2,24.2,187,397,1628,OFF,1
0:04:44,284,60.2,24.2,188,403,1631,OFF,1
0:04:45,285,60.2,24.2,187,393,1638,OFF,1
0:04:46,286,60.2,24.2,188,409,1627,OFF,1
0:04:47,287,60.2,24.2,188,400,1627,OFF,1
0:04:48,288,60.1,24.2,188,405,1631,OFF,1
0:04:49,289,60.1,24.2,188,403,1622,OFF,1
0:04:50,290,60.1,24.2,188,401,1638,OFF,1
0:04:51,291,60.1,24.2,188,406,1637,OFF,1
0:04:52,292,60.1,24.2,189,407,1650,OFF,1
0:04:53,293,60.1,24.2,189,405,1633,OFF,1
0:04:54,294,60.1,24.2,189,403,1640,OFF,1
0:04:55,295,60.1,24.2,189,399,1650,OFF,1
0:04:56,296,60.1,24.2,190,414,1671,OFF,1
0:04:57,297,60.1,24.2,190,404,1676,OFF,1
0:04:58,298,60,24.2,190,415,1701,OFF,1
0:04:59,299,60,24.2,190,409,1697,OFF,1
0:05:00,300,60,24.2,191,417,1699,OFF,1
0:05:01,301,60,24.2,191,412,1717,OFF,1
0:05:02,302,60,24.2,192,424,1745,OFF,1
0:05:03,303,60,24.2,192,432,1734,OFF,1
0:05:04,304,60,24.2,192,422,1752,OFF,1
0:05:05,305,60,24.2,192,427,1758,OFF,1
0:05:06,306,60,24.2,193,427,1784,OFF,1
0:05:07,307,60,24.2,193,440,1806,OFF,1
0:05:08,308,60,24.2,194,448,1813,OFF,1
0:05:09,309,59.9,24.2,194,441,1805,OFF,1
0:05:10,310,59.9,24.2,194,447,1836,OFF,1
0:05:11,311,60,24.3,195,453,1821,OFF,1
0:05:12,312,60,24.3,195,446,1819,OFF,1
0:05:13,313,59.9,24.2,196,444,1815,OFF,1
0:05:14,314,59.9,24.2,196,457,1840,OFF,1
0:05:15,315,59.9,24.2,197,462,1843,OFF,1
0:05:16,316,59.9,24.2,197,460,1841,OFF,1
0:05:17,317,59.9,24.3,197,461,1852,OFF,1
0:05:18,318,59.9,24.3,197,457,1836,OFF,1
0:05:19,319,59.9,24.2,198,463,1880,OFF,1
0:05:20,320,59.9,24.2,198,465,1867,OFF,1
0:05:21,321,59.9,24.3,198,470,1867,OFF,1
0:05:22,322,59.9,24.3,199,462,1846,OFF,1
0:05:23,323,59.9,24.3,199,464,1845,OFF,1
0:05:24,324,59.9,24.3,199,468,1861,OFF,1
0:05:25,325,59.8,24.2,199,470,1857,OFF,1
0:05:26,326,59.8,24.2,199,484,1872,OFF,1
0:05:27,327,59.9,24.2,200,476,1881,OFF,1
0:05:28,328,59.9,24.2,199,471,1869,OFF,1
0:05:29,329,59.9,24.3,200,472,1888,OFF,1
0:05:30,330,59.9,24.3,199,480,1871,OFF,1
0:05:31,331,59.9,24.2,199,469,1872,OFF,1
0:05:32,332,59.9,24.2,200,481,1851,OFF,1
0:05:33,333,59.9,24.3,199,480,1848,OFF,1
0:05:34,334,59.9,24.3,199,466,1814,OFF,1
0:05:35,335,59.9,24.3,199,465,1796,OFF,1
0:05:36,336,59.9,24.3,199,463,1788,OFF,1
0:05:37,337,59.9,24.3,198,460,1774,OFF,1
0:05:38,338,59.9,24.3,199,464,1781,OFF,1
0:05:39,339,59.8,24.2,198,457,1748,OFF,1
0:05:40,340,59.8,24.2,198,458,1755,OFF,1
0:05:41,341,59.9,24.3,197,458,1755,OFF,1
