Time,Reading ID,Humidity , Temperature  , MQ139,  TVOC, eCO2 , Detector,Status
0:00:00,1,38.2,21.9,69,0,400,OFF,0
0:00:02,2,38.2,21.9,69,0,400,OFF,0
0:00:04,3,38.2,21.9,69,0,400,OFF,0
0:00:06,4,38.2,21.9,68,0,400,OFF,0
0:00:08,5,38.3,21.9,68,0,400,OFF,0
0:00:10,6,38.3,21.9,69,0,400,OFF,0
0:00:12,7,38.2,21.9,69,0,400,OFF,0
0:00:14,8,38.3,21.9,68,0,400,OFF,0
0:00:16,9,38.3,21.9,69,0,400,OFF,0
0:00:18,10,38.3,21.9,68,0,406,OFF,0
0:00:20,11,38.3,21.9,68,6,415,OFF,0
0:00:22,12,38.3,21.9,69,0,405,OFF,0
0:00:24,13,38.3,21.9,69,1,408,OFF,0
0:00:26,14,38.3,21.9,69,0,400,OFF,0
0:00:28,15,38.3,21.9,68,9,402,OFF,0
0:00:30,16,38.3,21.9,69,7,400,OFF,0
0:00:32,17,38.3,21.9,69,1,407,OFF,0
0:00:34,18,38.3,21.9,69,4,400,OFF,0
0:00:36,19,38.3,21.9,68,3,406,OFF,0
0:00:38,20,38.4,21.9,68,0,406,OFF,0
0:00:40,21,38.4,21.9,69,4,406,OFF,1
0:00:42,22,38.3,21.8,69,5,408,OFF,1
0:00:44,23,38.3,21.8,69,3,413,OFF,1
0:00:46,24,38.4,21.8,69,0,412,OFF,1
0:00:48,25,38.4,21.8,69,0,412,OFF,1
0:00:50,26,38.4,21.9,69,3,404,OFF,1
0:00:52,27,38.4,21.8,69,5,412,OFF,1
0:00:54,28,38.5,21.9,68,1,407,OFF,1
0:00:56,29,38.4,21.8,69,2,410,OFF,1
0:00:58,30,38.4,21.8,69,4,421,OFF,1
0:01:00,31,38.4,21.8,68,4,418,OFF,1
0:01:02,32,38.4,21.8,68,12,424,OFF,1
0:01:04,33,38.5,21.8,68,13,418,OFF,1
0:01:06,34,38.5,21.8,69,16,420,OFF,1
0:01:08,35,38.6,21.9,68,12,428,OFF,1
0:01:10,36,38.5,21.8,68,11,423,OFF,1
0:01:12,37,38.5,21.8,69,17,431,OFF,1
0:01:14,38,38.5,21.8,69,14,423,OFF,1
0:01:16,39,38.5,21.8,68,14,416,OFF,1
0:01:18,40,38.5,21.8,69,21,422,OFF,1
0:01:20,41,38.5,21.9,68,23,422,OFF,1
0:01:22,42,38.5,21.8,69,17,415,OFF,1
0:01:24,43,38.5,21.8,69,19,426,OFF,1
0:01:26,44,38.6,21.8,68,20,433,OFF,1
0:01:28,45,38.6,21.9,69,26,439,OFF,1
0:01:30,46,38.6,21.8,68,24,431,OFF,1
0:01:32,47,38.6,21.8,68,26,432,OFF,1
0:01:34,48,38.6,21.8,68,21,432,OFF,1
0:01:36,49,38.7,21.9,69,26,431,OFF,1
0:01:38,50,38.7,21.9,69,31,434,OFF,1
0:01:40,51,38.6,21.8,69,31,437,OFF,1
0:01:42,52,38.7,21.9,69,30,431,OFF,1
0:01:44,53,38.7,21.9,68,33,439,OFF,1
0:01:46,54,38.7,21.9,68,36,445,OFF,1
0:01:48,55,38.7,21.9,69,36,437,OFF,1
0:01:50,56,38.7,21.9,69,40,441,OFF,1
0:01:52,57,38.7,21.9,69,41,433,OFF,1
0:01:54,58,38.7,21.9,69,42,442,OFF,1
0:01:56,59,38.6,21.9,68,35,445,OFF,1
0:01:58,60,38.6,21.9,69,42,447,OFF,1
0:02:00,61,38.6,21.9,69,48,441,OFF,1
0:02:02,62,38.6,21.8,69,43,445,OFF,1
0:02:04,63,38.6,21.9,68,42,440,OFF,1
0:02:06,64,38.6,21.9,68,46,442,OFF,1
0:02:08,65,38.6,21.9,68,52,454,OFF,1
0:02:10,66,38.6,21.8,69,48,445,OFF,1
0:02:12,67,38.6,21.9,68,46,446,OFF,1
0:02:14,68,38.6,21.9,68,50,449,OFF,1
0:02:16,69,38.6,21.9,68,52,446,OFF,1
0:02:18,70,38.6,21.9,68,50,447,OFF,1
0:02:20,71,38.6,21.9,69,56,446,OFF,1
0:02:22,72,38.5,21.8,68,57,441,OFF,1
0:02:24,73,38.6,21.9,68,51,447,OFF,1
0:02:26,74,38.6,21.9,68,51,446,OFF,1
0:02:28,75,38.6,21.9,69,58,447,OFF,1
0:02:30,76,38.5,21.8,68,55,439,OFF,1
0:02:32,77,38.6,21.9,69,60,439,OFF,1
0:02:34,78,38.5,21.9,69,54,441,OFF,1
0:02:36,79,38.6,21.9,69,57,450,OFF,1
0:02:38,80,38.6,21.9,68,57,438,OFF,1
0:02:40,81,38.6,21.9,69,53,441,OFF,1
0:02:42,82,38.5,21.8,69,57,447,OFF,1
0:02:44,83,38.6,21.9,69,58,442,OFF,1
0:02:46,84,38.6,21.9,69,59,452,OFF,1
0:02:48,85,38.6,21.9,69,55,446,OFF,1
0:02:50,86,38.6,21.9,69,58,445,OFF,1
0:02:52,87,38.7,21.9,68,62,451,OFF,1
0:02:54,88,38.7,21.9,69,57,453,OFF,1
0:02:56,89,38.7,21.9,69,63,452,OFF,1
0:02:58,90,38.7,21.9,68,63,450,OFF,1
0:03:00,91,38.7,21.9,68,66,465,OFF,1
0:03:02,92,38.8,21.9,69,65,455,OFF,1
0:03:04,93,38.8,21.9,69,66,468,OFF,1
0:03:06,94,38.8,21.9,69,72,459,OFF,1
0:03:08,95,38.9,21.9,69,64,460,OFF,1
0:03:10,96,39,21.9,69,69,454,OFF,1
0:03:12,97,39,21.9,69,71,464,OFF,1
0:03:14,98,39,21.9,69,70,460,OFF,1
0:03:16,99,39.1,21.9,70,71,469,OFF,1
0:03:18,100,39.2,21.9,70,73,474,OFF,1
0:03:20,101,39.2,21.9,69,73,455,OFF,1
0:03:22,102,39.1,21.9,69,76,466,OFF,1
0:03:24,103,39.1,21.9,69,74,471,OFF,1
0:03:26,104,39.1,21.9,69,78,474,OFF,1
0:03:28,105,39.2,21.9,69,80,475,OFF,1
0:03:30,106,39.2,21.9,69,78,473,OFF,1
0:03:32,107,39.2,21.9,69,87,478,OFF,1
0:03:34,108,39.2,21.9,69,82,464,OFF,1
0:03:36,109,39.2,21.9,70,88,471,OFF,1
0:03:38,110,39.2,21.9,69,77,459,OFF,1
0:03:40,111,39.2,21.9,69,80,468,OFF,1
0:03:42,112,39.2,21.9,69,83,467,OFF,1
0:03:44,113,39.2,21.9,69,85,470,OFF,1
0:03:46,114,39.2,21.9,70,77,467,OFF,1
0:03:48,115,39.2,21.9,70,84,467,OFF,1
0:03:50,116,39.2,21.9,69,79,468,OFF,1
0:03:52,117,39.2,21.9,69,82,468,OFF,1
0:03:54,118,39.2,21.9,69,82,465,OFF,1
0:03:56,119,39.2,21.9,69,85,471,OFF,1
0:03:58,120,39.2,21.9,70,89,469,OFF,1
0:04:00,121,39.2,21.9,69,83,467,OFF,1
0:04:02,122,39.2,21.9,69,85,458,OFF,1
0:04:04,123,39.2,21.9,69,84,462,OFF,1
0:04:06,124,39.2,21.9,69,84,463,OFF,1
0:04:08,125,39.1,21.9,69,91,471,OFF,1
0:04:10,126,39.1,21.9,69,81,463,OFF,1
0:04:12,127,39.1,21.9,69,85,463,OFF,1
0:04:14,128,39.1,21.9,69,90,466,OFF,1
0:04:16,129,39.1,21.9,70,81,460,OFF,1
0:04:18,130,39.1,21.9,69,81,459,OFF,1
0:04:20,131,39.1,21.9,69,80,460,OFF,1
