Time,Reading ID,Humidity ,Temperature  , MQ139,  TVOC, eCO2 , Detector,Status
15:06:28,1,61.9,23.1,104,0,400,OFF,0
15:06:29,2,61.9,23.1,104,0,400,OFF,0
15:06:30,3,61.6,23,104,0,400,OFF,0
15:06:31,4,61.6,23,104,0,400,OFF,0
15:06:32,5,61.6,23.1,104,0,400,OFF,0
15:06:33,6,61.6,23.1,104,0,400,OFF,0
15:06:34,7,61.6,23,104,0,400,OFF,0
15:06:35,8,61.6,23,104,0,400,OFF,0
15:06:36,9,61.6,23.1,104,0,400,OFF,0
15:06:37,10,61.6,23.1,104,0,400,OFF,0
15:06:38,11,61.6,23.1,104,0,400,OFF,0
15:06:39,12,61.6,23.1,104,0,400,OFF,0
15:06:40,13,61.6,23.1,103,0,400,OFF,0
15:06:41,14,61.6,23.1,104,0,400,OFF,0
15:06:42,15,61.6,23.1,103,0,400,OFF,0
15:06:43,16,61.6,23.1,104,4,406,OFF,0
15:06:44,17,61.6,23.1,103,1,400,OFF,0
15:06:45,18,61.6,23.1,104,5,412,OFF,0
15:06:46,19,61.6,23.1,104,9,400,OFF,0
15:06:47,20,61.6,23.1,103,4,407,OFF,0
15:06:48,21,61.6,23.1,104,8,410,OFF,0
15:06:49,22,61.6,23.1,104,1,406,OFF,0
15:06:50,23,61.6,23.1,103,10,408,OFF,0
15:06:51,24,61.5,23.1,104,10,405,OFF,0
15:06:52,25,61.5,23.1,104,6,400,OFF,0
15:06:53,26,61.5,23.1,104,5,400,OFF,0
15:06:54,27,61.5,23.1,104,8,409,OFF,0
15:06:55,28,61.5,23.1,104,4,401,OFF,0
15:06:56,29,61.5,23.1,103,8,404,OFF,0
15:06:57,30,61.4,23.1,103,8,404,OFF,0
15:06:58,31,61.4,23.1,103,7,402,OFF,0
15:06:59,32,61.4,23.1,103,7,401,OFF,0
15:07:00,33,61.4,23.1,103,5,400,OFF,0
15:07:01,34,61.4,23.1,103,7,400,OFF,0
15:07:02,35,61.4,23.1,103,6,403,OFF,0
15:07:03,36,61.3,23.1,103,7,410,OFF,0
15:07:04,37,61.3,23.1,103,7,408,OFF,0
15:07:05,38,61.3,23.1,103,4,401,OFF,0
15:07:06,39,61.3,23.1,103,2,406,OFF,0
15:07:07,40,61.2,23.1,103,3,404,OFF,0
15:07:08,41,61.2,23.1,103,2,400,OFF,0
15:07:09,42,61.2,23.1,103,6,400,OFF,0
15:07:10,43,61.2,23.1,103,5,410,OFF,0
15:07:11,44,61.2,23.1,103,7,410,OFF,0
15:07:12,45,61.2,23.1,103,7,404,OFF,0
15:07:13,46,61.2,23.1,103,0,404,OFF,0
15:07:14,47,61.2,23.1,103,7,401,OFF,0
15:07:15,48,61.2,23.1,103,5,402,OFF,0
15:07:16,49,61.2,23.1,103,8,404,OFF,0
15:07:17,50,61.1,23.1,102,6,400,OFF,0
15:07:18,51,61.1,23.1,103,4,404,OFF,0
15:07:19,52,61.1,23.1,103,8,404,OFF,0
15:07:20,53,61.1,23.1,103,4,409,OFF,0
15:07:21,54,61,23.1,103,2,402,OFF,0
15:07:22,55,61,23.1,103,3,403,OFF,0
15:07:23,56,61,23.1,102,16,412,OFF,0
15:07:24,57,61,23.1,103,8,400,OFF,0
15:07:25,58,61,23.1,103,10,400,OFF,0
15:07:26,59,61,23.1,103,8,401,OFF,0
15:07:27,60,61,23.1,102,10,405,OFF,0
15:07:28,61,60.9,23.1,102,16,406,OFF,0
15:07:29,62,60.9,23.1,102,2,403,OFF,0
15:07:30,63,60.9,23.1,102,7,401,OFF,0
15:07:31,64,60.9,23.1,102,5,405,OFF,0
15:07:32,65,61,23.1,103,14,409,OFF,0
15:07:33,66,61,23.1,103,11,418,OFF,0
15:07:34,67,61,23.1,102,8,418,OFF,0
15:07:35,68,61,23.1,103,16,407,OFF,0
15:07:36,69,61,23.1,102,16,406,OFF,0
15:07:37,70,61,23.1,102,13,409,OFF,0
15:07:38,71,61,23.1,103,19,418,OFF,0
15:07:39,72,61,23.1,103,14,413,OFF,0
15:07:40,73,61,23.1,102,12,408,OFF,0
15:07:41,74,61,23.1,103,16,413,OFF,0
15:07:42,75,61,23.1,103,20,413,OFF,0
15:07:43,76,61,23.1,103,13,415,OFF,0
15:07:44,77,61,23.1,103,25,422,OFF,0
15:07:45,78,61,23.1,102,18,415,OFF,0
15:07:46,79,61,23.1,103,23,414,OFF,0
15:07:47,80,61,23.1,102,22,413,OFF,0
15:07:48,81,61.1,23.1,103,16,411,OFF,0
15:07:49,82,61.1,23.1,102,20,414,OFF,0
15:07:50,83,61.1,23.1,103,20,417,OFF,0
15:07:51,84,61.1,23.1,103,21,414,OFF,0
15:07:52,85,61.1,23.1,103,27,422,OFF,0
15:07:53,86,61.1,23.1,103,23,416,OFF,0
15:07:54,87,61.1,23.1,103,26,420,OFF,0
15:07:55,88,61.1,23.1,103,21,415,OFF,0
15:07:56,89,61.1,23.1,102,32,427,OFF,0
15:07:57,90,61.1,23.1,102,32,422,OFF,0
15:07:58,91,61.2,23.2,103,33,425,OFF,0
15:07:59,92,61.2,23.2,103,28,420,OFF,0
